 itemName, reqLev, mainstat, substat1, substat2, attmag, set, bossDMG, penetrate, itemImg
 파프니르 미스텔테인,150,40,40,0,164,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 트윈클리버,150,40,40,0,164,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 골디언해머,150,40,40,0,164,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 페니텐시아,150,40,40,0,171,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 배틀클리퍼,150,40,40,0,171,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 라이트닝어,150,40,40,0,171,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 브류나크,150,40,40,0,171,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 문글레이브,150,40,40,0,153,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 데스브링어,150,40,40,0,171,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 빅 마운틴,150,40,40,0,128,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 포기브니스,150,40,40,0,171,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 마나테이커,150,40,40,0,201,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 마나크라운,150,40,40,0,204,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 마나크래들,150,40,40,0,201,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 ESP리미터,150,40,40,0,201,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 매직 건틀릿,150,40,40,0,201,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 윈드체이서,150,40,40,0,160,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 윈드윙슈터,150,40,40,0,164,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 에인션트 보우,150,40,40,0,160,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 듀얼윈드윙,150,40,40,0,160,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 리스크홀더,150,40,40,0,86,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 다마스커스,150,40,40,0,160,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 클레르시엘,150,40,40,0,164,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 스플릿엣지,150,40,40,0,128,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 체인,150,40,40,0,160,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 용선,150,40,40,0,160,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 펜리르탈론,150,40,40,0,128,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 첼리스카,150,40,40,0,125,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 러스터캐논,150,40,40,0,175,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 파프니르 엔젤릭슈터,150,40,40,0,128,4,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFME.png
 앱솔랩스 세이버,160,60,60,0,197,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 엑스,160,60,60,0,197,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 비트해머,160,60,60,0,197,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 브로드세이버,160,60,60,0,205,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 브로드엑스,160,60,60,0,205,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 브로드해머,160,60,60,0,205,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 피어싱스피어,160,60,60,0,205,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 핼버드,160,60,60,0,184,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 데스페라도,160,60,60,0,205,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 파일갓,160,60,60,0,154,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 튜너,160,60,60,0,205,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 스펠링완드,160,60,60,0,241,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 스펠링스태프,160,60,60,0,245,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 샤이닝로드,160,60,60,0,241,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 ESP리미터,160,60,60,0,241,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 매직 건틀렛,160,60,60,0,241,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 슈팅보우,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 크로스보우,160,60,60,0,197,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 듀얼보우건,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 에인션트 보우,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 리벤지가즈,160,60,60,0,103,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 슬래셔,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 핀쳐케인,160,60,60,0,197,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 에너지소드,160,60,60,0,154,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 체인,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 괴선,160,60,60,0,192,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 블로우너클,160,60,60,0,154,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 포인팅건,160,60,60,0,150,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 블래스트캐논,160,60,60,0,210,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 앱솔랩스 소울슈터,160,60,60,0,154,5,30,10, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJF.png
 아케인셰이드 세이버,200,100,100,0,283,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 엑스,200,100,100,0,283,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 해머,200,100,100,0,283,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 투핸드소드,200,100,100,0,295,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 투핸드엑스,200,100,100,0,295,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 투핸드해머,200,100,100,0,295,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 스피어,200,100,100,0,295,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 폴암,200,100,100,0,264,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 데스페라도,200,100,100,0,295,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 엘라하,200,100,100,0,221,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 튜너,200,100,100,0,295,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 완드,200,100,100,0,347,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 스태프,200,100,100,0,353,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 샤이닝로드,200,100,100,0,347,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 ESP리미터,200,100,100,0,347,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 매직 건틀렛,200,100,100,0,347,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 보우,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 크로스보우,200,100,100,0,283,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 듀얼보우건,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 에인션트 보우,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 가즈,200,100,100,0,149,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 대거,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 케인,200,100,100,0,283,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 에너지소드,200,100,100,0,221,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 체인,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 초선,200,100,100,0,276,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 클로,200,100,100,0,221,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 피스톨,200,100,100,0,216,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 시즈건,200,100,100,0,302,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
 아케인셰이드 소울슈터,200,100,100,0,221,6,30,20, https://avatar.maplestory.nexon.com/ItemIcon/KEMBJFJI.png
